title;type;url_slug;venue;date;location;talk_url;description
Graph - Beginner (BACS-BUBT National Programming Camp, 2017);Tutorial;graph-beginner-BACS-Camp-2017;Bangladesh University of Business and Technology (BACS National Camp-2017);2018-01-22;Dhaka, Bangladesh;https://www.youtube.com/watch?v=xswqISXxAC4;BACS National Programming Camp-2017
Data Structures - Beginner (BACS-BUBT National Programming Camp, 2017);Tutorial;ds-beginner-BACS-Camp-2017;Bangladesh University of Business and Technology (BACS National Camp-2017);2018-01-23;Dhaka, Bangladesh;https://www.youtube.com/watch?v=6E02tpz_Fu4;BACS National Programming Camp-2017
